,Layer,ZSL,ICL No Perm,One Perm,Cascading Perms
0,0,0.469,0.841,0.832,0.674
1,1,,,0.844,0.681
2,2,,,0.836,0.677
3,3,,,0.83,0.701
4,4,,,0.856,0.772
5,5,,,0.814,0.749
6,6,,,0.813,0.796
7,7,,,0.802,0.807
8,8,,,0.827,0.842
9,9,,,0.805,0.847
10,10,,,0.812,0.839
11,11,,,0.823,0.842
12,12,,,0.828,0.837
13,13,,,0.83,0.838
14,14,,,0.848,0.847
15,15,,,0.842,0.854
16,16,,,0.842,0.846
17,17,,,0.844,0.845
18,18,,,0.839,0.84
19,19,,,0.846,0.844
20,20,,,0.844,0.852
21,21,,,0.844,0.842
22,22,,,0.843,0.844
23,23,,,0.848,0.84
24,24,,,0.844,0.839
25,25,,,0.838,0.844
26,26,,,0.841,0.845
27,27,,,0.844,0.842
28,28,,,0.841,0.841
29,29,,,0.84,0.842
30,30,,,0.843,0.84
31,31,,,0.842,0.839
