layer,accuracy,prob_avg
0,0.0,1.2316246856585167e-06
1,0.0,2.862302840412667e-05
2,0.0,6.920305055609788e-05
3,0.0,5.409096537641744e-05
4,0.0,2.9869532345173864e-05
5,0.0,5.736848786079918e-05
6,0.0,6.77748687469375e-05
7,0.0,9.223770084645366e-05
8,0.0,0.000155462233205526
9,0.0,0.00028788915090422054
10,0.0,0.0003334751927122852
11,0.0,0.0004373025444886025
12,0.0,0.00048573677715376106
13,0.0,0.0003489769594007157
14,0.0,0.001069741825464007
15,0.001,0.0015958736225102257
16,0.081,0.02541196904037497
17,0.075,0.041149761804532316
18,0.294,0.15992886672560053
19,0.398,0.2882218752910374
20,0.316,0.240888672810071
21,0.207,0.2588987901197112
22,0.141,0.26528337781855954
23,0.257,0.27260660093739136
24,0.334,0.2961242099203107
25,0.384,0.35830496639154896
26,0.447,0.39601751339884506
27,0.604,0.4168710113134412
28,0.787,0.6854098579167985
29,0.774,0.6562239170399844
30,0.709,0.6317173999495571
31,0.841,0.7311719892547699
