start_layer_num,lr_scale,accuracy
0,1.0,0.841
0,0.5,0.596
0,0.75,0.839
0,1.25,0.778
0,1.5,0.542
0,1.75,0.438
0,2.0,0.392
10,0.5,0.816
10,0.75,0.841
10,1.25,0.843
10,1.5,0.841
10,1.75,0.821
10,2.0,0.794
15,0.5,0.811
15,0.75,0.834
15,1.25,0.843
15,1.5,0.845
15,1.75,0.839
15,2.0,0.833
20,0.5,0.813
20,0.75,0.827
20,1.25,0.853
20,1.5,0.861
20,1.75,0.86
20,2.0,0.858
25,0.5,0.829
25,0.75,0.834
25,1.25,0.859
25,1.5,0.865
25,1.75,0.871
25,2.0,0.871
30,0.5,0.83
30,0.75,0.836
30,1.25,0.856
30,1.5,0.861
30,1.75,0.862
30,2.0,0.826
